date,time,ward,location,latitude,longitude,situation
2017-07-29,11:30,南区,南区藤野675番地付近(砂防堰堤横),42.944772,141.309331,ヒグマを目撃
2017-08-02,13:30,南区,南区自然歩道:藻岩山ルｰト(馬の背近く(17番観音付近)),43.026492,141.31447,踏み分け跡を確認
2017-08-02,10:50,中央区,中央区盤渓市民の森(案内板7番から8番に向かって約60mの地点),43.022324,141.275594,フンを確認
2017-08-03,10:15,南区,南区藤野501番地付近,42.952981,141.286092,ヒグマを目撃
2017-08-03,12:20,南区,南区藤野473-1付近,42.952503,141.279306,ヒグマを目撃
2017-08-07,10:30,南区,南区豊滝市民の森(案内板5番から6番方向へ約20mの地点),42.934336,141.234987,フンを確認
2017-08-09,16:50,南区,南区真駒内363番地(道道真駒内御料線(滝野霊園前バス停付近)),42.9218,141.359906,ヒグマを目撃
2017-08-13,10:08,南区,南区砥山84-3付近,42.962778,141.250419,食痕、足跡、フンを確認
2017-08-17,18:50,中央区,中央区盤渓328番地付近,43.03595,141.262744,ヒグマを目撃
2017-08-19,05:30,南区,南区滝野(滝野霊園付近),42.919399,141.366704,ヒグマを目撃
2017-08-23,15:56,南区,南区中ノ沢1812番地,42.994278,141.310694,ヒグマを目撃
2017-08-24,不明,南区,南区豊滝89番地付近,42.94437745,141.2298455,足跡、枝折り、フンを確認
2017-08-25,14:20,南区,南区常盤339番地付近,42.917833,141.328742,ヒグマを目撃
2017-08-25,17:30,南区,南区常盤371番地付近,42.922364,141.332131,ヒグマを目撃
2017-08-27,不明,南区,南区豊滝471番地,42.94660522,141.2254541,食痕と足跡を確認
2017-08-27,11:20,南区,南区藤野699番地付近,42.945033,141.311211,ヒグマを目撃
2017-08-28,19:00,南区,南区豊滝414番地付近,42.9538731,141.2393587,ヒグマを目撃
2017-08-31,06:30,南区,南区豊滝492番地付近,42.958592,141.232067,足跡を確認
2017-09-01,15:00,南区,南区豊滝471番地付近,42.945803,141.224828,食痕、足跡を確認
2017-09-02,13:13,南区,南区豊滝471番地付近,42.945803,141.224828,食痕を確認
2017-09-02,15:00,南区,南区豊滝410番地付近,42.954478,141.241314,ヒグマを目撃
2017-09-03,11:45,南区,南区藤野472-1(フッズ内ゲレンデ),42.952145,141.27755,ヒグマを目撃
2017-09-05,10:00,南区,南区簾舞465番地付近,42.959397,141.252692,足跡、食痕を確認
2017-09-11,11:30,南区,南区白川市民の森(案内板6番から1番方向へ約100mの地点),42.9811,141.288369,フンを確認
2017-09-12,10:45,南区,南区北ノ沢2丁目19-11,43.007723,141.327614,ヒグマを目撃
2017-09-12,08:30,南区,南区滝野247(滝野すずらん丘陵公園内),42.911897,141.370083,ヒグマを目撃
2017-09-14,14:30,南区,南区南区簾舞157番地付近,42.944833,141.257528,ヒグマを目撃
2017-09-20,10:30,中央区,中央区盤渓市民の森(案内板3番から4番に向かって約30mの地点),43.022147,141.278393,掘跡を確認
2017-09-25,19:25,南区,南区砥山84番地付近(八剣山トンネル札幌側出口手前100m),42.96210186,141.2476158,ヒグマを目撃
2017-09-26,18:49,南区,南区白川1814番地付近(硬石山線上),42.970439,141.298022,ヒグマを目撃
2017-09-26,不明,南区,南区砥山73番地付近,42.96158633,141.2494801,フン、枝折りを確認
2017-09-27,23:00,南区,南区簾舞488番地付近,42.952739,141.252455,ヒグマを目撃
